name,URL,parkCode,description,latitude,longitude,designation,physical address
Abraham Lincoln Birthplace National Historical Park,https://www.nps.gov/abli/index.htm,abli,"For over a century people from around the world have come to rural Central Kentucky to honor the humble beginnings of our 16th president, Abraham Lincoln. His early life on Kentucky's frontier shaped his character and prepared him to lead the nation through Civil War. The country's first memorial to Lincoln, built with donations from young and old, enshrines the symbolic birthplace cabin.",37.5858662,-85.67330523,National Historical Park,"2995 Lincoln Farm Road

Hodgenville, KY 42748"
Acadia National Park,https://www.nps.gov/acad/index.htm,acad,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 3.5 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.",44.409286,-68.247501,National Park,"25 Visitor Center Road
Hulls Cove Visitor Center
Bar Harbor, ME 04609"
Adams National Historical Park,https://www.nps.gov/adam/index.htm,adam,"From the sweet little farm at the foot of Penn’s Hill to the gentleman’s country estate at Peace field, Adams National Historical Park is the story of “heroes, statesman, philosophers … and learned women” whose ideas and actions helped to transform thirteen disparate colonies into one united nation.",42.2553961,-71.01160356,National Historical Park,"1250 Hancock Street

Quincy, MA 02169"
African American Civil War Memorial,https://www.nps.gov/afam/index.htm,afam,"Over 200,000 African-American soldiers and sailors served in the U.S. Army and Navy during the Civil War. Their service helped to end the war and free over four million slaves. The African American Civil War Memorial honors their service and sacrifice.",38.9166,-77.026,,"1925 Vermont Avenue Northwest

Washington, DC 20001"
African Burial Ground National Monument,https://www.nps.gov/afbg/index.htm,afbg,African Burial Ground is the oldest and largest known excavated burial ground in North America for both free and enslaved Africans. It protects the historic role slavery played in building New York,40.71452681,-74.00447358,National Monument,"African Burial Ground National Monument
290 Broadway
New York, NY 10007"
Agate Fossil Beds National Monument,https://www.nps.gov/agfo/index.htm,agfo,"In the early 1900s, paleontologists unearthed the Age of Mammals when they found full skeletons of extinct Miocene mammals in the hills of Nebraska -- species previously only known through fragments. At the same time, an age of friendship began between rancher James Cook and Chief Red Cloud of the Lakota. These two unprecedented events are preserved and protected here... at Agate Fossil Beds.",42.42170419,-103.753886,National Monument,"301 River Road

Harrison, NE 69346"
Ala Kahakai National Historic Trail,https://www.nps.gov/alka/index.htm,alka,"Established in 2000 to preserve, protect and interpret traditional Native Hawaiian culture and natural resources, Ala Kahakai National Historic Trail is a 175 mile corridor encompassing a network of culturally and historically significant trails. This ""trail by the sea"" traverses wahi pana (storied landscapes), ancient Hawaiian sites and over 200 ahupuaʻa (traditional land divisions). Connect now!",19.1446681090248,-155.890734293795,National Historic Trail,"Superintendent
Ala Kahakai National Historic Trail
Kailua-Kona, HI 96740"
Alagnak Wild River,https://www.nps.gov/alag/index.htm,alag,"The headwaters of Alagnak Wild River lie within the rugged Aleutian Range of neighboring Katmai National Park and Preserve. Meandering west towards Bristol Bay and the Bering Sea, the Alagnak traverses the beautiful Alaska Peninsula, providing an unparalleled opportunity to experience the unique wilderness, wildlife, and cultural heritage of southwest Alaska.",59.05180188,-156.112002,Wild River,"1000 Silver St., Bldg. 603
PO Box 7
King Salmon, AK 99613"
Alaska Public Lands,https://www.nps.gov/anch/index.htm,anch,"Alaska’s parks, forests, and refuges are rich and varied. The Alaska Public Lands Information Centers help visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. These centers provide trip-planning, interpretation, and education for all ages.",61.2188,-149.894536,,"605 West 4th Avenue
Suite 105
Anchorage, AK 99501"
Alcatraz Island,https://www.nps.gov/alca/index.htm,alca,"Alcatraz reveals stories of American incarceration, justice, and our common humanity. This small island was once a fort, a military prison, and a maximum security federal penitentiary. In 1969, the Indians of All Tribes occupied Alcatraz for 19 months in the name of freedom and Native American civil rights. We invite you to explore Alcatraz's complex history and natural beauty.",37.82676234,-122.4230206,,"Alcatraz Island

San Francisco Bay, CA 94133"
Aleutian Islands World War II National Historic Area,https://www.nps.gov/aleu/index.htm,aleu,"During World War II the remote Aleutian Islands, home to the Unangax̂ (Aleut) people for over 8,000 years, became a fiercely contested battleground in the Pacific. This thousand-mile-long archipelago saw invasion by Japanese forces, the occupation of two islands; a mass relocation of Unangax̂ civilians; a 15-month air war; and one of the deadliest battles in the Pacific Theater.",53.9143,-166.5197,National Historic Area,"Affiliated Areas, Alaska Regional Office
National Park Service
Anchorage, AK 99501"
Alibates Flint Quarries National Monument,https://www.nps.gov/alfl/index.htm,alfl,"13,000 years ago, this site was well-known by mammoth hunters as a source of flint for tools. Centuries passed but the colorful flint never lost its value and usefulness in the Texas Panhandle. Gain a sense of how integral this site was to the survival, commerce and culture of the High Plains. Visit Alibates Flint Quarries to see the many colors of the beautiful Alibates Flint.",35.5819662,-101.6717008,National Monument,"37084 Alibates Rd.

Potter County, TX 79036"
Allegheny Portage Railroad National Historic Site,https://www.nps.gov/alpo/index.htm,alpo,"The first railroad to circumvent the Allegheny Mountains, the Allegheny Portage Railroad was the finishing piece of the Pennsylvania Mainline Canal. ""The Portage,"" opened in 1834, marking the first time that there was one, direct route between Philadelphia and Pittsburgh. All things to all people, it served merchants, passengers, slaves in pursuit of freedom, and soldiers from the Mexican War.",40.42977467,-78.57431622,National Historic Site,"110 Federal Park Road

Gallitzin, PA 16641"
American Memorial Park,https://www.nps.gov/amme/index.htm,amme,"American Memorial Park honors the American and Marianas people who gave their lives during the Marianas Campaign of World War II. At the park, memorials stand in tribute to the courage and sacrifice of the US Servicemen and Chamorro and Carolinian civilians who were killed in the battles between the United States and Japan that took place on Saipan, Tinian, and the Philippine Sea in 1944.",15.21680033,145.7231096,Park,"Beach Road

Saipan, MP 96950"
Amistad National Recreation Area,https://www.nps.gov/amis/index.htm,amis,"An oasis in the desert, Amistad National Recreation Area consists of the US portion of the International Amistad Reservoir. Amistad, whose name comes from the Spanish word meaning friendship, is best known for excellent water-based recreation, camping, hiking, rock art viewing, and its rich cultural history. Amistad is also home to a wide variety of plant and animal life above and below the water.",29.53539777,-101.075821,National Recreation Area,"10477 Highway 90 West

Del Rio, TX 78840"
Anacostia Park,https://www.nps.gov/anac/index.htm,anac,"Welcome to Anacostia Park, your neighborhood national park in the heart of Washington, DC! Enjoy exercise along the river trail or relax by the water, Anacostia Park is a breath of fresh air and a space to unwind amid a bustling city.",38.8782,-76.9703,Park,"1900 Anacostia Drive, S.E.

Washington, DC 20020"
Andersonville National Historic Site,https://www.nps.gov/ande/index.htm,ande,"The Camp Sumter military prison at Andersonville was one of the largest Confederate military prisons during the Civil War. During the 14 months the prison existed, more than 45,000 Union soldiers were confined here. Of these, almost 13,000 died here. Today, Andersonville National Historic Site is a memorial to all American prisoners of war throughout the nation's history.",32.19831758,-84.12988898,National Historic Site,"Andersonville National Cemetery
National Prisoner of War Museum
Andersonville, GA 31711"
Andrew Johnson National Historic Site,https://www.nps.gov/anjo/index.htm,anjo,"Andrew Johnson's complex presidency (1865-69) illustrates the Constitution at work following the Civil War. As the President and Congress disagreed on Reconstruction methods, the Constitution served as their guide on balance of powers, vetoes, and impeachment. In the end, it evolved as a living document with pivotal amendments on freedom, citizenship, and voting rights - topics still vital today.",36.15624509,-82.83709021,National Historic Site,"Andrew Johnson NHS
101 North College Street
Greeneville, TN 37743"
Aniakchak National Monument & Preserve,https://www.nps.gov/ania/index.htm,ania,"Given its remote location and challenging weather conditions, Aniakchak is one of the most wild and least visited places in the National Park System. This landscape is a vibrant reminder of Alaska's location in the volcanically active ""Ring of Fire,"" as it is home to an impressive six mile (10 km) wide, 2,500 ft (762 m) deep caldera formed during a massive volcanic eruption 3,500 years ago.",56.85317675,-157.5544362,National Monument & Preserve,"1000 Silver St., Bldg. 603
PO Box 7
KIng Salmon, AK 99613"
